date,open,high,low,close,volume
2019-05-16,74.8,74.84,73.9,74.33,3737156.0
2019-05-17,74.71,74.71,71.92,72.25,3600307.0
2019-05-20,71.37,72.08,67.89,69.69,4523747.0
2019-05-21,70.22,71.18,69.88,70.15,3194938.0
2019-05-22,70.72,70.92,69.25,69.37,2782387.0
2019-05-23,68.8,69.25,67.3,67.48,4401686.0
2019-05-24,67.82,68.2,66.99,67.85,2931112.0
2019-05-27,67.99,69.64,67.68,69.2,4369021.0
2019-05-28,69.2,71.88,68.8,71.88,5318129.0
2019-05-29,70.21,71.29,70.05,70.57,3295113.0
2019-05-30,70.49,70.49,68.9,69.81,2872644.0
2019-05-31,70.3,70.47,69.36,69.44,2516679.0
2019-06-03,68.6,69.67,68.0,68.16,3252837.0
2019-06-04,68.4,68.4,66.8,66.87,3166678.0
2019-06-05,67.37,69.35,67.36,69.07,5009314.0
2019-06-06,68.81,68.89,66.66,66.94,3748486.0
2019-06-10,67.85,70.27,66.91,67.6,8845244.0
2019-06-11,64.02,68.94,64.0,68.19,24107111.0
2019-06-12,67.27,69.5,67.27,68.65,15350806.0
2019-06-13,68.6,72.26,67.9,71.01,21548752.0
2019-06-14,71.07,74.18,70.8,72.18,20433297.0
2019-06-17,72.25,73.83,71.1,71.96,12070489.0
2019-06-18,71.9,72.38,70.4,71.05,8180108.0
2019-06-19,72.98,73.24,69.12,69.68,14281497.0
2019-06-20,69.68,70.24,68.25,69.06,12816110.0
2019-06-21,71.0,71.0,68.85,69.09,11818586.0
2019-06-24,69.09,69.13,67.91,68.86,6605850.0
2019-06-25,68.84,69.2,67.81,68.83,7638790.0
2019-06-26,68.44,70.56,68.29,69.98,9448365.0
2019-06-27,69.82,70.71,69.45,69.93,10948902.0
2019-06-28,68.9,69.43,68.0,68.88,5721215.0
2019-07-01,70.0,71.0,69.31,70.32,13077230.0
2019-07-02,70.28,72.38,69.96,71.04,16251996.0
2019-07-03,70.51,73.01,70.28,71.8,22100168.0
2019-07-04,71.99,72.28,70.55,71.05,8084414.0
2019-07-05,71.1,71.5,70.02,71.08,8893749.0
2019-07-08,70.53,70.53,67.89,68.86,8304330.0
2019-07-09,68.88,70.89,68.5,70.86,9602729.0
2019-07-10,71.1,73.47,71.0,72.25,15931512.0
2019-07-11,73.5,73.52,71.9,72.42,7067279.0
2019-07-12,72.79,74.23,72.51,73.88,9417205.0
2019-07-15,74.51,74.58,73.0,73.66,11271492.0
2019-07-16,73.41,73.66,71.31,72.82,9607041.0
2019-07-17,72.45,73.84,72.28,72.99,4317237.0
2019-07-18,72.46,72.8,71.33,71.5,4517044.0
2019-07-19,71.71,72.95,71.57,72.5,5735854.0
2019-07-22,72.5,73.6,71.51,73.08,8765702.0
2019-07-23,73.4,76.95,72.62,75.87,16470705.0
